moduleId/I, x0_cm/D, y0_cm/D, z0_cm/D, x1_cm/D, y1_cm/D, z1_cm/D, x2_cm/D, y2_cm/D, z2_cm/D, x3_cm/D, y3_cm/D, z3_cm/D, nstrips/I, nwires/I, nwiregroups/I, evenBit/I, frBit/I, ccwBit/I
49, 154.11022949, 333.94854736, 1013.57977295, 212.58264160, 300.18847656, 1013.57977295, 397.50341797, 561.35412598, 1013.57977295, 288.15744019, 624.48693848, 1013.57977295, 80, 1024, 64, 0, 1, 0
50, 93.78229523, 355.62921143, 1038.37976074, 157.22875977, 332.53567505, 1038.37976074, 293.98925781, 621.84472656, 1038.37976074, 175.34158325, 665.03070068, 1038.37976074, 80, 1024, 64, 1, 0, 0
51, 26.93674469, 98.30478668, 615.85705566, 9.17008781, 112.69768524, 615.74688721, 22.63488388, 277.45971680, 615.63818359, 66.38610840, 242.01651001, 615.90948486, 64, 586, 48, 0, 0, 1
52, 9.52962399, 101.49720001, 586.54113770, -10.47420311, 112.57269287, 586.49438477, -25.93678856, 277.15930176, 586.42816162, 23.32357216, 249.88534546, 586.54321289, 64, 586, 48, 1, 1, 1
53, -8.33655930, 101.57144165, 615.75152588, -29.95320892, 109.02402496, 615.78765869, -73.62112427, 268.46350098, 615.84020996, -20.38910675, 250.11116028, 615.75122070, 64, 586, 48, 0, 0, 1
54, 74.48006439, 273.56802368, 711.41815186, 23.22729492, 282.60046387, 711.23492432, 37.36253738, 454.72213745, 711.17987061, 119.83720398, 440.18737793, 711.47473145, 80, 554, 64, 0, 0, 1
55, 25.85112000, 282.30218506, 684.00103760, -26.19174385, 282.29937744, 683.92694092, -42.15337753, 454.26123047, 683.77148438, 41.59267807, 454.26574707, 683.89068604, 80, 554, 64, 1, 1, 1
56, -23.56634140, 282.49041748, 711.22100830, -74.81797791, 273.45050049, 711.33880615, -120.39833069, 440.02813721, 711.37341309, -37.92549133, 454.57501221, 711.18377686, 80, 554, 64, 0, 0, 1
57, 123.35832977, 500.38397217, 694.10797119, 54.58253479, 512.52679443, 694.30474854, 71.55337524, 671.40716553, 694.30120850, 161.65037537, 655.49993896, 694.04339600, 64, 521, 32, 0, 0, 1
58, 34.59902954, 514.23059082, 694.00170898, -35.24045181, 514.23620605, 694.21173096, -46.13885880, 673.64813232, 694.40136719, 45.35157776, 673.64080811, 694.12615967, 64, 521, 32, 1, 0, 1
59, -55.13814545, 512.49145508, 693.82696533, -123.90622711, 500.31002808, 694.22857666, -162.45489502, 655.37438965, 694.38098145, -72.36800385, 671.33215332, 693.85491943, 64, 521, 32, 0, 0, 1
60, 26.78045845, 98.46414185, 615.64050293, 9.40357590, 112.53546906, 615.70031738, 23.15150261, 277.04382324, 615.59045410, 65.94288635, 242.39257812, 615.44299316, 48, 586, 48, 0, 0, 1
61, 9.27984238, 101.60478210, 586.62304688, -10.28041458, 112.43787384, 586.57574463, -25.36550331, 276.82843018, 586.11492920, 22.80253983, 250.15144348, 586.23132324, 48, 586, 48, 1, 1, 1
62, -8.50484276, 101.62294769, 615.62854004, -29.64340210, 108.91102600, 615.71209717, -72.92440796, 268.21817017, 615.79730225, -20.86972427, 250.27098083, 615.59155273, 48, 586, 48, 0, 0, 1
63, -25.74582291, 98.57425690, 586.46679688, -48.33102417, 102.14222717, 586.46679688, -119.13896179, 251.52117920, 586.46679688, -63.52184296, 242.73486328, 586.46679688, 64, 586, 48, 1, 1, 1
64, -42.50627136, 92.62711334, 615.74707031, -65.36791229, 92.22304535, 615.81005859, -161.01606750, 227.05355835, 615.79083252, -104.71820068, 228.04858398, 615.63574219, 64, 586, 48, 0, 0, 1
65, -57.95103455, 83.76853180, 586.54193115, -80.39746094, 79.41200256, 586.57165527, -197.94689941, 195.64431763, 586.44866943, -142.67153931, 206.37243652, 586.37548828, 64, 586, 48, 1, 1, 1
66, -72.25986481, 274.09732056, 683.71710205, -121.16871643, 256.31088257, 683.89453125, -194.93167114, 412.46685791, 683.98925781, -116.22880554, 441.08837891, 683.70367432, 80, 554, 64, 1, 1, 1
67, -118.74118042, 257.37524414, 711.28399658, -163.81555176, 231.36053467, 711.27667236, -263.59118652, 372.32327271, 711.19403076, -191.05867004, 414.18551636, 711.20581055, 80, 554, 64, 0, 0, 1
68, -161.63618469, 232.85559082, 684.01165771, -201.49864197, 199.39772034, 683.86950684, -324.27090454, 320.85812378, 683.73419189, -260.12524414, 374.69769287, 683.96301270, 80, 554, 64, 1, 1, 1
69, -143.29335022, 495.08065796, 694.25360107, -208.90512085, 471.15328979, 693.83581543, -273.77276611, 617.17779541, 693.89025879, -187.82070923, 648.52294922, 694.43762207, 64, 521, 32, 1, 0, 1
70, -227.07191467, 462.64306641, 694.13824463, -287.54177856, 427.70092773, 694.33642578, -376.74649048, 560.26593018, 694.28100586, -297.53039551, 606.04058838, 694.02136230, 64, 521, 32, 0, 0, 1
71, -304.03320312, 416.06048584, 694.10400391, -357.57849121, 371.22195435, 694.16943359, -468.28955078, 486.43496704, 694.22381592, -398.14468384, 545.17395020, 694.13812256, 64, 521, 32, 1, 0, 1
72, -26.00524902, 98.60791779, 586.46313477, -48.09128952, 102.09538269, 586.38464355, -118.50772858, 251.40551758, 586.21191406, -64.11983490, 242.81748962, 586.40521240, 48, 586, 48, 1, 1, 1
73, -42.72453308, 92.58177185, 615.68035889, -65.08078766, 92.18219757, 615.67852783, -160.34799194, 227.00126648, 615.62500000, -105.29467773, 227.98526001, 615.62963867, 48, 586, 48, 0, 0, 1
74, -58.19025803, 83.78296661, 586.34283447, -80.14106750, 79.52598572, 586.38299561, -197.27349854, 195.85317993, 586.35528564, -143.21861267, 206.33621216, 586.25646973, 48, 586, 48, 1, 1, 1
75, 39.96076202, 144.51599121, 839.75964355, -14.64019966, 149.29025269, 839.88171387, -33.33934784, 339.90240479, 839.91937256, 91.00544739, 329.02981567, 839.64141846, 80, 610, 112, 0, 0, 1
76, -11.85447693, 149.40490723, 815.07482910, -64.79603577, 135.21823120, 815.13250732, -147.55548096, 307.94201660, 815.02850342, -26.98972702, 340.24990845, 814.89715576, 80, 610, 112, 1, 1, 1
77, -62.21475220, 136.33549500, 839.93206787, -107.11149597, 104.89819336, 839.70324707, -243.95251465, 238.90246582, 839.49938965, -141.70750427, 310.49581909, 840.02050781, 80, 610, 112, 0, 0, 1
78, 96.61267853, 354.92187500, 839.64062500, 30.11937714, 366.64385986, 839.59509277, 56.32762146, 685.57373047, 839.80023193, 180.67303467, 663.65313721, 839.88537598, 80, 1024, 64, 0, 0, 1
79, 33.54489136, 366.22589111, 814.96441650, -33.97298431, 366.21728516, 814.64440918, -63.57273483, 684.85034180, 814.58666992, 62.68866730, 684.86639404, 815.18511963, 80, 1024, 64, 1, 1, 1
80, -30.58542252, 366.51293945, 839.57495117, -97.07924652, 354.79394531, 839.63098145, -181.49435425, 663.46398926, 839.85284424, -57.14798737, 685.37902832, 839.74798584, 80, 1024, 64, 0, 0, 1
81, -93.78238678, 355.67706299, 814.90173340, -157.22943115, 332.58517456, 814.83599854, -293.98226929, 621.89782715, 814.78198242, -175.33349609, 665.08068848, 814.90490723, 80, 1024, 64, 1, 1, 1
82, -154.02162170, 333.99969482, 839.56652832, -212.49118042, 300.23504639, 839.72888184, -397.43255615, 561.38604736, 839.87792969, -288.09188843, 624.52740479, 839.57434082, 80, 1024, 64, 0, 0, 1
83, -209.71009827, 302.14413452, 814.78240967, -261.44818115, 258.76287842, 814.83453369, -488.82543945, 483.93560791, 814.86401367, -392.07293701, 565.06042480, 814.76654053, 80, 1024, 64, 1, 1, 1
84, -16.23162460, 169.32556152, 923.97113037, 45.76719284, 163.90216064, 923.76562500, 91.80854797, 328.81164551, 923.73394775, -32.53751755, 339.68890381, 924.14605713, 80, 546, 96, 0, 1, 0
85, -73.17347717, 153.57852173, 948.64318848, -13.05838776, 169.68663025, 948.75805664, -26.19493866, 340.39794922, 948.88586426, -146.76296997, 308.09118652, 948.65551758, 80, 546, 96, 1, 0, 0
86, -121.28168488, 119.30342102, 923.67694092, -70.30149078, 154.99945068, 924.02734375, -141.03121948, 310.92294312, 924.34802246, -243.27810669, 239.33030701, 923.64520264, 80, 546, 96, 0, 1, 0
87, 30.53437424, 366.46044922, 924.28405762, 97.02898407, 354.74719238, 924.46307373, 181.41784668, 663.42456055, 924.51507568, 57.06999969, 685.32885742, 924.18035889, 80, 1024, 64, 0, 1, 0
88, -33.54732895, 366.19360352, 949.20007324, 33.97128296, 366.20245361, 949.25219727, 63.48897934, 684.84307861, 949.11944580, -62.77380753, 684.82659912, 949.02197266, 80, 1024, 64, 1, 0, 0
89, -96.64289856, 354.80484009, 924.29223633, -30.14952087, 366.52618408, 924.37298584, -56.35518646, 685.45635986, 924.40270996, -180.70072937, 663.53686523, 924.25170898, 80, 1024, 64, 0, 1, 0
90, -156.71006775, 332.64355469, 949.29443359, -93.26409912, 355.73522949, 948.90863037, -174.46432495, 665.26660156, 948.85504150, -293.11108398, 622.08416748, 949.57653809, 80, 1024, 64, 1, 0, 0
91, -212.11451721, 300.36471558, 924.41271973, -153.65046692, 334.13800049, 924.11914062, -287.44091797, 624.83251953, 924.05969238, -396.77127075, 561.67492676, 924.60876465, 80, 1024, 64, 0, 1, 0
92, -261.06906128, 258.94711304, 949.15081787, -209.32670593, 302.32296753, 948.97827148, -391.37554932, 565.49853516, 949.15368652, -488.13604736, 484.38372803, 949.47644043, 80, 1024, 64, 1, 0, 0
93, -18.17088699, 189.78297424, 1014.00219727, 51.27457428, 183.70861816, 1013.86859131, 91.85281372, 329.05535889, 1013.63671875, -32.54397964, 339.93627930, 1013.87615967, 80, 481, 96, 0, 1, 0
94, -81.97660828, 172.08026123, 1038.68298340, -14.64102936, 190.12210083, 1038.66601562, -26.21684265, 340.58242798, 1038.55065918, -146.83422852, 308.26431274, 1038.58105469, 80, 481, 96, 1, 0, 0
95, -135.89909363, 133.71417236, 1013.85913086, -78.79460144, 173.69747925, 1013.87597656, -141.13130188, 311.12545776, 1013.78674316, -243.42187500, 239.50386047, 1013.75653076, 80, 481, 96, 0, 1, 0
